aln_base	nheaders	pis	vars	seq_len	seq_len_nogap	nogap_prop	gc_mean	gc_var	gap_mean	gap_var	pi_mean	pi_std	total_tree_len	treeness	inter_len_mean	inter_len_var	ter_len_mean	ter_len_var	supp_mean	coeffVar_len	rcv	treeness_o_rcv	saturation	LB_std	gc_mean_pos1	gc_var_pos1	gap_mean_pos1	gap_var_pos1	gc_mean_pos2	gc_var_pos2	gap_mean_pos2	gap_var_pos2	gc_mean_pos3	gc_var_pos3	gap_mean_pos3	gap_var_pos3	invariants	singletons	patterns	entropy
E0013.r2_para_no_lavaretus_TBL_tlike_aln	86	54.83870967741935	59.13978494623656	186	24.193548387096776	0.969242	62.607592000000004	17.994162	3.0757689999999998	76.857924	78.725564	10.834178	4.610766	0.470344	0.026128	0.0011769999999999999	0.028397000000000002	0.002364	64.292771	1.542837	0.09687	0.205956	0.607839	22.414153	63.810444	11.495023	3.0757689999999998	76.857924	49.644551	5.542949	3.0757689999999998	76.857924	74.36778199999999	79.510674	3.0757689999999998	76.857924	40.86021505376344	8	144	0.416121
E1687.r2_para_no_lavaretus_TBL_tlike_aln	42	54.559386973180075	63.14176245210728	1305	11.954022988505747	0.8715200000000001	55.627455000000005	13.951395000000002	12.84802	339.782952	61.426657999999996	17.83258	3.814688	0.48035	0.046984	0.0028870000000000002	0.047198000000000004	0.002876	88.907692	1.132673	0.160646	0.334435	0.21359699999999998	23.984799	48.469839	9.887886	12.846196	339.830831	42.114197999999995	5.781127	12.851669000000001	339.688033	76.297668	63.84063199999999	12.846196	339.830831	36.85823754789272	112	895	0.508663
E1003.r2_para_no_lavaretus_TBL_tlike_aln	60	52.0	59.666666666666664	300	24.0	0.961333	58.855636	24.091860999999998	3.8666669999999996	91.54124300000001	75.808475	12.282805999999999	4.495933	0.41813900000000004	0.032981	0.0022949999999999997	0.0436	0.007923999999999999	74.596491	1.8706169999999998	0.106144	0.253849	0.766746	44.768962	63.722643999999995	7.121975999999999	3.8666669999999996	91.54124300000001	37.127055	3.933523	3.8666669999999996	91.54124300000001	75.717209	142.842207	3.8666669999999996	91.54124300000001	40.333333333333336	23	213	0.455558
E0719.r2_para_no_lavaretus_TBL_tlike_aln	43	28.444444444444443	47.55555555555556	225	17.77777777777778	0.832558	64.290582	7.359469	16.744186	211.66580499999998	64.987818	16.090504	2.05608	0.444457	0.022846	0.001105	0.026563999999999997	0.002038	61.5925	1.600955	0.127872	0.287704	0.29776199999999997	36.082397	63.857888	17.742028	16.775194	213.60698900000003	54.21021999999999	5.923366000000001	16.713178	209.80730899999998	74.80673	29.077287	16.744186	211.66580499999998	52.44444444444444	43	153	0.26562399999999997
E1709.r2_para_no_lavaretus_TBL_tlike_aln	52	47.325102880658434	52.33196159122085	1458	24.21124828532236	0.908568	55.262946	15.230539000000002	9.143189	113.664239	69.42934100000001	12.393448	3.455264	0.549029	0.038715	0.002911	0.029966000000000003	0.001565	85.106122	1.375677	0.100164	0.18243800000000002	0.742993	21.54534	55.882768000000006	3.4757559999999996	9.140551	113.649957	38.24458	1.583533	9.140551	113.649957	71.66336	96.2956	9.148465	113.694976	47.66803840877915	73	831	0.43547700000000006
E1194.r2_para_no_lavaretus_TBL_tlike_aln	69	40.82687338501292	49.09560723514212	387	19.896640826873384	0.936898	49.399975	7.627723	6.3101519999999995	147.284477	77.46893399999999	14.665754000000002	2.550394	0.5025850000000001	0.019421	0.000598	0.018386000000000003	0.001697	69.337879	1.795955	0.098841	0.196665	0.24658000000000002	32.938297	49.606275	2.678398	6.313897	147.390664	44.823656	1.298999	6.302663	147.295889	53.773167	54.803636	6.313897	147.196247	50.90439276485788	32	250	0.306856
E1751.r2_para_no_lavaretus_TBL_tlike_aln	28	25.356125356125357	32.763532763532766	351	49.572649572649574	0.9572649999999999	62.664446	10.749507000000001	4.273504	98.75461	81.217685	11.987078	1.473749	0.355121	0.020934	0.0004969999999999999	0.033942	0.00275	62.272	1.482949	0.083064	0.23390300000000003	0.31271	21.737781	63.318371	1.688941	4.273504	98.75461	40.129023	1.54934	4.273504	98.75461	84.54594300000001	74.24676099999999	4.273504	98.75461	67.23646723646723	26	150	0.26919699999999996
E0741.r2_para_no_lavaretus_TBL_tlike_aln	31	50.87719298245614	60.96491228070175	228	43.421052631578945	0.966469	63.851547	17.994175	3.3531410000000004	49.265778999999995	75.03867199999999	10.627979	3.2160159999999998	0.43379700000000004	0.049825	0.005826	0.058739	0.009754	75.253571	1.617879	0.095825	0.220898	1.581699	31.137815999999997	70.180357	11.570913000000001	3.3531410000000004	49.265778999999995	42.622696999999995	7.222903	3.3531410000000004	49.265778999999995	78.751586	111.24922099999999	3.3531410000000004	49.265778999999995	39.03508771929825	23	154	0.495831
E0758.r2_para_no_lavaretus_TBL_tlike_aln	46	52.99145299145299	61.111111111111114	234	25.641025641025642	0.913322	66.070423	15.717179999999999	8.667781	204.630344	68.939675	15.099675	4.313376	0.41548599999999997	0.041678	0.002951	0.057301	0.005321	69.769048	1.301431	0.129304	0.311211	0.5929810000000001	27.183858	67.454043	15.959951	8.667781	204.630344	47.012169	3.697946	8.667781	204.630344	83.74505699999999	79.507932	8.667781	204.630344	38.888888888888886	19	167	0.468933
E0926.r2_para_no_lavaretus_TBL_tlike_aln	39	50.93632958801498	59.176029962546814	267	58.42696629213483	0.974743	49.457454999999996	4.942945	2.525689	28.835319000000002	76.606165	9.183785	2.681276	0.534176	0.039785	0.0018329999999999998	0.032026	0.002358	81.152778	1.2796889999999999	0.056492999999999995	0.10575699999999999	1.443214	23.704418	42.153002	6.620655	2.621723	28.527321	39.434053000000006	2.4250119999999997	2.477672	28.982218	66.767279	52.424912	2.477672	29.115109999999998	40.823970037453186	22	180	0.47081000000000006
