aln_base	nheaders	pis	vars	seq_len	seq_len_nogap	gap_prop	nogap_prop	gc_mean	gc_var	gap_mean	gap_var	pi_mean	pi_std	total_tree_len	treeness	inter_len_mean	inter_len_var	ter_len_mean	ter_len_var	supp_mean	coeffVar_len	rcv	treeness_o_rcv	saturation	SymPval	MarPval	IntPval	LB_std	gc_mean_pos1	gc_var_pos1	gap_mean_pos1	gap_var_pos1	gc_mean_pos2	gc_var_pos2	gap_mean_pos2	gap_var_pos2	gc_mean_pos3	gc_var_pos3	gap_mean_pos3	gap_var_pos3
clean_COI.phy-out.fas	350	314	335	651	0	0.06414700000000001	0.935853	46.967775	6.1777050000000004	6.414747	217.998315	69.797785	15.634936999999999	185.54797299999998	0.358232	0.191554	0.042598000000000004	0.340225	0.172052	58.78674399999999	1.262653	0.000306342857142857	0.29930300000000004	0.46813999999999995	0.367879	0.572407		24.157283	56.72508199999999	3.150255	6.414747	217.998315	42.492246	1.177616	6.414747	217.998315	41.685996	44.406145	6.414747	217.998315
clean_CYTB.phy-out.fas	365	687	753	1140	0	0.128133	0.8718670000000001	46.726202	6.0281910000000005	12.813266	444.222401	58.407178	19.924018	166.18457800000002	0.34324	0.157572	0.033863	0.299023	0.327309	64.359116	1.886448	0.000465304109589041	0.494802	0.705358	0.0	0.0	0.589542	26.388483	52.579356000000004	3.7710559999999997	12.813266	444.222401	38.724121999999994	1.633357	12.813266	444.222401	48.875126	36.895519	12.813266	444.222401
clean_E0001.phy-out.fas	352	85	106	192	165	0.002175	0.997825	57.589192000000004	3.825069	0.217507	1.489738	91.910188	3.8605769999999997	11.813169	0.436569	0.014777	0.000872	0.018909	0.0016769999999999999	29.830946	2.121986	0.000102465909090909	0.082617	5.258097	0.005226	0.0015199999999999999	0.5311600000000001	42.199321000000005	59.225013	2.950287	0.217507	1.489738	33.683648	1.38071	0.217507	1.489738	79.858915	26.581862	0.217507	1.489738
clean_E0003.phy-out.fas	319	128	137	195	105	0.021751	0.9782489999999999	53.370831	9.725465	2.175066	7.974241999999999	81.691476	5.54863	21.452613	0.443198	0.030088	0.0021260000000000003	0.037445	0.003633	46.746835	1.591726	0.000217921630094044	0.156853	3.775606	0.000306	0.00010800000000000001	0.715213	23.373383	65.686001	4.33718	2.175066	7.974241999999999	36.114451	3.320247	2.175066	7.974241999999999	58.312041	72.740751	2.175066	7.974241999999999
clean_E0009.phy-out.fas	342	124	141	189	96	0.004595	0.9954049999999999	47.899236	7.049722	0.45948199999999995	9.356546	85.26606899999999	5.9120550000000005	18.665423999999998	0.44311300000000003	0.024398	0.001495	0.030393	0.002643	47.572271	1.6628599999999998	0.000163418128654971	0.126128	2.8524979999999998	0.135541	0.030673000000000002	0.836858	27.472139000000002	47.883909	6.111986	0.45948199999999995	9.356546	29.708641999999998	1.8742580000000002	0.45948199999999995	9.356546	66.10515799999999	46.264883000000005	0.45948199999999995	9.356546
clean_E0010.phy-out.fas	323	127	133	192	90	0.010206999999999999	0.989793	53.514683999999995	14.124179000000002	1.020704	17.189654	81.82727	7.041556	14.433704999999998	0.47466400000000003	0.02141	0.0014119999999999998	0.023475	0.002252	46.396875	1.906811	0.00023049845201238397	0.15685	1.7981189999999998	0.00020899999999999998	2.2e-05	0.593608	27.594672999999997	50.678957000000004	13.719161999999999	1.020704	17.189654	33.099346999999995	6.643066999999999	1.020704	17.189654	76.765749	60.87403199999999	1.020704	17.189654
clean_E0011.phy-out.fas	365	98	112	189	126	0.004262	0.9957379999999999	57.031116000000004	13.769914000000002	0.42618	3.70791	86.330011	5.016832	20.992504999999998	0.45373500000000005	0.026312000000000002	0.0021780000000000002	0.031418	0.003326	42.453039000000004	1.818473	0.000190671232876712	0.153382	5.228567	0.027413999999999997	0.005922	0.629925	31.460399	69.28602	2.091366	0.42618	3.70791	42.402599	1.9488020000000001	0.42618	3.70791	59.404731000000005	118.34539099999999	0.42618	3.70791
clean_E0012.phy-out.fas	203	121	133	192	33	0.044951	0.9550489999999999	63.604661	6.672049	4.495074	92.434072	80.889738	11.421246	11.795155000000001	0.38183	0.022519	0.001462	0.035918	0.002878	38.5	1.6079729999999999	0.000413064039408867	0.219606	0.422911	0.021991999999999998	0.005459	0.777737	22.023296	69.145094	5.947236	4.495074	92.434072	43.510269	4.041622	4.495074	92.434072	78.15862	37.059384	4.495074	92.434072
clean_E0013.phy-out.fas	355	102	119	192	174	0.0008359999999999999	0.9991639999999999	56.080142	6.247476	0.08362699999999999	0.399888	87.553671	4.209447	19.642671	0.430453	0.024021	0.0016600000000000002	0.031514	0.0031940000000000002	42.170455	1.778144	0.00014796338028169	0.122027	5.3987940000000005	0.048826	0.045077	0.21371300000000001	29.948221999999998	61.944638	2.927593	0.08362699999999999	0.399888	44.901204	1.134596	0.08362699999999999	0.399888	61.394583	50.434981	0.08362699999999999	0.399888
clean_E0014.phy-out.fas	248	85	99	192	36	0.031376	0.9686239999999999	56.176883	8.589406	3.1376009999999996	63.654318999999994	84.31124799999999	10.337816	12.66106	0.417943	0.021598	0.0014529999999999999	0.029716000000000003	0.0033200000000000005	36.861224	1.9090340000000001	0.000309620967741935	0.183724	0.687684	0.006215	0.004275999999999999	0.274918	32.134031	64.02406500000001	5.879525	3.1376009999999996	63.654318999999994	37.418104	1.1731	3.1376009999999996	63.654318999999994	67.08848	63.185798	3.1376009999999996	63.654318999999994
